count,363.0
mean,0.048842975206611544
std,0.20519707579784302
min,0.0
25%,0.0
50%,0.0
75%,0.02
max,2.62
count,365.0
mean,0.16998727984344406
std,0.29572180763925376
min,0.0
25%,0.008571428571428572
50%,0.06999999999999999
75%,0.19166666666666665
max,2.3800000000000003
count,363.0
mean,0.048842975206611544
std,0.20519707579784302
min,0.0
25%,0.0
50%,0.0
75%,0.02
max,2.62
count,2015.0
mean,0.1764615384615378
std,0.4602883636813204
min,0.0
25%,0.0
50%,0.02
75%,0.13
max,6.7
count,2015.0
mean,0.1764615384615378
std,0.4602883636813204
min,0.0
25%,0.0
50%,0.02
75%,0.13
max,6.7
count,2015.0
mean,0.1764615384615378
std,0.4602883636813204
min,0.0
25%,0.0
50%,0.02
75%,0.13
max,6.7
count,2015.0
mean,0.1764615384615378
std,0.4602883636813204
min,0.0
25%,0.0
50%,0.02
75%,0.13
max,6.7
count,2015.0
mean,0.1764615384615378
std,0.4602883636813204
min,0.0
25%,0.0
50%,0.02
75%,0.13
max,6.7
count,2015.0
mean,0.1764615384615378
std,0.4602883636813204
min,0.0
25%,0.0
50%,0.02
75%,0.13
max,6.7
count,2015.0
mean,0.1764615384615378
std,0.4602883636813204
min,0.0
25%,0.0
50%,0.02
75%,0.13
max,6.7
count,2015.0
mean,0.1764615384615378
std,0.4602883636813204
min,0.0
25%,0.0
50%,0.02
75%,0.13
max,6.7
count,2015.0
mean,0.1764615384615378
std,0.4602883636813204
min,0.0
25%,0.0
50%,0.02
75%,0.13
max,6.7
count,2015.0
mean,0.1764615384615378
std,0.4602883636813204
min,0.0
25%,0.0
50%,0.02
75%,0.13
max,6.7
count,2015.0
mean,0.1764615384615378
std,0.4602883636813204
min,0.0
25%,0.0
50%,0.02
75%,0.13
max,6.7
count,2015.0
mean,0.1764615384615378
std,0.4602883636813204
min,0.0
25%,0.0
50%,0.02
75%,0.13
max,6.7
count,2015.0
mean,0.1764615384615378
std,0.4602883636813204
min,0.0
25%,0.0
50%,0.02
75%,0.13
max,6.7
count,2021.0
mean,0.17727857496288904
std,0.4611895038877026
min,0.0
25%,0.0
50%,0.02
75%,0.13
max,6.7
